file,size_kb,resolution,megapixels,bytes_per_megapixel,entropy_bits,edge_density,colorfulness,approx_compression_ratio,density_score
0FB58F40-2606-4228-A7D0-217D2B2E77EA.jpeg,495.6,1024x1536,1.573,322654.1,6.789,0.086,49.32,9.3,0.475
399BC81B-1DBC-4543-A5B3-E4135C41E6DC.jpeg,183.8,709x1536,1.089,172794.2,4.994,0.121,2.46,17.36,0.268
D03C5302-B777-4E55-B64C-1EC203E927B1.jpeg,128.4,709x1536,1.089,120739.3,3.025,0.029,39.86,24.85,0.262
6C2B5E76-8F2D-47DB-A56C-AB10400E1070.jpeg,134.9,709x1536,1.089,126843.9,2.736,0.065,28.89,23.65,0.229
D2E04BF9-B145-462E-9771-5891CC09CBD3.jpeg,127.5,709x1536,1.089,119903.7,2.458,0.061,19.4,25.02,0.187
2FBF6F7D-F1DD-4E6D-BB19-16EA46D79A78.jpeg,112.9,709x1536,1.089,106125.3,2.283,0.051,14.38,28.27,0.161
666DD052-0DAA-4E11-9E6E-B8C8DCDEEA9D.jpeg,108.9,709x1536,1.089,102385.3,2.224,0.048,12.53,29.3,0.152
BA99B09B-28E4-4943-8729-AD6180E40727.jpeg,94.4,709x1536,1.089,88729.0,2.653,0.044,5.96,33.81,0.149
886C41EE-6DA9-4FA8-9668-06B9D845EE43.jpeg,71.0,709x1536,1.089,66731.3,2.457,0.028,5.96,44.96,0.135
177A4202-4ED9-4BA6-8F45-B53A0920774A.jpeg,75.0,709x1536,1.089,70478.7,2.369,0.032,5.95,42.57,0.133
